fournisseur,date_commande,categorie_produit,delai_prevu,delai_reel,prix,quantite
SUP_044,2024-05-28,alimentaire,7,7.0,2.29,19.0
SUP_017,2024-05-28,non_alimentaire,13,13.0,14.45,8.0
SUP_046,2024-05-28,non_alimentaire,5,,16.15,9.0
SUP_056,2024-05-28,logistique,4,4.0,10.05,10.0
SUP_080,2024-05-28,alimentaire,2,2.0,2.94,16.0
SUP_018,2024-05-28,non_alimentaire,16,16.0,14.53,16.0
SUP_038,2024-05-28,non_alimentaire,20,20.0,14.91,7.0
SUP_027,2024-05-28,alimentaire,8,8.0,3.11,6.0
SUP_016,2024-05-28,non_alimentaire,17,16.0,14.75,5.0
SUP_005,2024-05-28,non_alimentaire,7,8.0,14.31,8.0
SUP_022,2024-05-28,alimentaire,10,10.0,3.22,15.0
SUP_044,2024-05-28,alimentaire,6,9.0,3.18,7.0
SUP_034,2024-05-28,alimentaire,6,9.0,3.05,11.0
SUP_021,2024-05-28,alimentaire,4,6.0,2.95,2.0
SUP_019,2024-05-28,alimentaire,6,6.0,3.05,5.0
SUP_008,2024-05-28,non_alimentaire,8,8.0,14.29,6.0
SUP_051,2024-05-28,non_alimentaire,5,8.0,16.58,6.0
SUP_041,2024-05-28,non_alimentaire,18,19.0,15.28,17.0
SUP_020,2024-05-29,logistique,13,13.0,8.34,19.0
SUP_016,2024-05-29,non_alimentaire,18,18.0,14.93,4.0
SUP_067,2024-05-29,alimentaire,3,3.0,2.91,18.0
SUP_064,2024-05-29,non_alimentaire,11,11.0,15.53,4.0
SUP_061,2024-05-29,alimentaire,10,,3.03,7.0
SUP_052,2024-05-29,non_alimentaire,19,17.0,14.49,6.0
SUP_002,2024-05-29,non_alimentaire,13,,13.9,3.0
SUP_003,2024-05-29,non_alimentaire,20,21.0,15.25,13.0
SUP_040,2024-05-29,alimentaire,3,4.0,3.17,
SUP_019,2024-05-29,non_alimentaire,10,10.0,124.88,9.0
SUP_057,2024-05-29,non_alimentaire,12,12.0,14.38,4.0
SUP_064,2024-05-29,non_alimentaire,16,16.0,14.92,3.0
SUP_067,2024-05-29,logistique,12,10.0,7.75,28.0
SUP_016,2024-05-29,alimentaire,7,7.0,3.08,6.0
SUP_020,2024-05-29,non_alimentaire,18,17.0,15.75,8.0
SUP_051,2024-05-29,alimentaire,10,10.0,3.04,9.0
SUP_009,2024-05-29,alimentaire,3,3.0,3.3,16.0
SUP_020,2024-05-29,alimentaire,9,9.0,2.97,7.0
SUP_005,2024-05-29,logistique,13,13.0,7.97,8.0
SUP_001,2024-05-29,alimentaire,6,6.0,3.2,6.0
SUP_064,2024-05-29,non_alimentaire,20,20.0,14.53,2.0
SUP_068,2024-05-29,alimentaire,7,7.0,2.96,
SUP_079,2024-05-29,logistique,7,8.0,7.97,
SUP_067,2024-05-29,alimentaire,3,3.0,2.8,4.0
SUP_016,2024-05-29,non_alimentaire,15,15.0,14.64,9.0
SUP_068,2024-05-29,non_alimentaire,17,19.0,13.97,7.0
SUP_045,2024-05-29,logistique,15,15.0,7.83,6.0
SUP_054,2024-05-29,non_alimentaire,15,15.0,18.63,8.0
SUP_004,2024-05-29,non_alimentaire,13,13.0,14.89,14.0
SUP_062,2024-05-29,logistique,13,13.0,8.26,106.0
SUP_040,2024-05-29,logistique,14,14.0,7.86,1.0
SUP_033,2024-05-29,alimentaire,4,4.0,2.96,6.0
SUP_067,2024-05-29,logistique,12,10.0,7.75,28.0
SUP_002,2024-05-29,non_alimentaire,17,17.0,13.59,35.0
SUP_076,2024-05-30,non_alimentaire,5,5.0,15.51,17.0
SUP_072,2024-05-30,logistique,13,15.0,7.85,2.0
SUP_010,2024-05-30,non_alimentaire,6,5.0,15.27,9.0
SUP_059,2024-05-30,logistique,15,13.0,8.26,14.0
SUP_067,2024-05-30,alimentaire,7,9.0,3.05,16.0
SUP_040,2024-05-30,alimentaire,7,7.0,3.05,21.0
SUP_012,2024-05-30,non_alimentaire,9,14.0,10.68,4.0
SUP_056,2024-05-30,logistique,6,6.0,6.95,19.0
SUP_025,2024-05-30,non_alimentaire,9,,14.41,3.0
SUP_021,2024-05-30,non_alimentaire,14,14.0,14.67,18.0
SUP_054,2024-05-30,non_alimentaire,13,,18.06,8.0
SUP_012,2024-05-30,non_alimentaire,14,14.0,12.98,9.0
SUP_032,2024-05-30,logistique,9,9.0,8.25,6.0
SUP_032,2024-05-30,alimentaire,2,2.0,3.05,7.0
SUP_045,2024-05-30,alimentaire,7,4.0,3.21,15.0
SUP_046,2024-05-30,alimentaire,2,2.0,3.0,14.0
SUP_067,2024-05-30,non_alimentaire,17,17.0,14.86,17.0
SUP_066,2024-05-30,non_alimentaire,15,15.0,15.05,18.0
SUP_057,2024-05-30,non_alimentaire,5,5.0,14.79,5.0
SUP_076,2024-05-30,non_alimentaire,8,8.0,13.85,1.0
SUP_014,2024-05-30,non_alimentaire,15,15.0,14.46,11.0
SUP_080,2024-05-30,non_alimentaire,9,9.0,14.03,13.0
SUP_006,2024-05-30,alimentaire,8,9.0,3.04,4.0
SUP_049,2024-05-30,non_alimentaire,5,5.0,14.81,8.0
SUP_073,2024-05-30,non_alimentaire,7,4.0,15.99,5.0
SUP_055,2024-05-30,logistique,13,13.0,8.23,9.0
SUP_033,2024-05-30,logistique,14,14.0,8.16,48.0
SUP_046,2024-05-30,non_alimentaire,16,16.0,16.13,6.0
SUP_006,2024-05-30,alimentaire,8,9.0,3.04,4.0
SUP_061,2024-05-30,alimentaire,8,8.0,2.98,9.0
SUP_055,2024-05-30,alimentaire,9,9.0,3.1,10.0
SUP_057,2024-05-30,alimentaire,3,3.0,3.09,2.0
SUP_079,2024-05-30,logistique,12,12.0,8.36,13.0
SUP_009,2024-05-30,alimentaire,4,4.0,3.22,8.0
SUP_029,2024-05-31,alimentaire,3,3.0,3.22,4.0
SUP_079,2024-05-31,alimentaire,5,5.0,3.02,12.0
SUP_059,2024-05-31,non_alimentaire,6,6.0,15.47,3.0
SUP_027,2024-05-31,alimentaire,7,7.0,3.12,13.0
SUP_043,2024-05-31,non_alimentaire,8,8.0,14.34,15.0
SUP_003,2024-05-31,alimentaire,7,8.0,2.84,5.0
SUP_054,2024-05-31,alimentaire,4,4.0,2.24,24.0
SUP_023,2024-05-31,non_alimentaire,10,10.0,14.9,8.0
SUP_018,2024-05-31,logistique,12,14.0,8.34,15.0
SUP_050,2024-05-31,non_alimentaire,6,6.0,15.54,13.0
SUP_076,2024-05-31,non_alimentaire,11,11.0,16.04,1.0
SUP_004,2024-05-31,alimentaire,3,3.0,3.04,13.0
SUP_067,2024-05-31,logistique,13,13.0,7.89,18.0
SUP_076,2024-05-31,non_alimentaire,9,9.0,14.44,4.0
SUP_013,2024-05-31,non_alimentaire,7,7.0,17.28,9.0
SUP_005,2024-05-31,logistique,13,14.0,8.35,55.0
SUP_039,2024-05-31,non_alimentaire,5,5.0,14.4,6.0
SUP_044,2024-05-31,alimentaire,6,6.0,2.82,4.0
SUP_002,2024-05-31,non_alimentaire,10,,15.63,6.0
SUP_017,2024-05-31,alimentaire,3,4.0,3.03,3.0
SUP_073,2024-05-31,non_alimentaire,19,19.0,,6.0
SUP_003,2024-05-31,alimentaire,5,6.0,3.05,9.0
SUP_076,2024-05-31,alimentaire,6,6.0,2.76,7.0
SUP_014,2024-05-31,non_alimentaire,16,16.0,15.66,6.0
SUP_078,2024-05-31,non_alimentaire,12,12.0,14.78,14.0
SUP_011,2024-05-31,alimentaire,4,5.0,3.04,14.0
SUP_019,2024-05-31,alimentaire,6,6.0,3.23,12.0
SUP_041,2024-05-31,alimentaire,3,4.0,2.94,11.0
SUP_071,2024-05-31,alimentaire,7,7.0,3.08,2.0
SUP_011,2024-06-01,alimentaire,10,10.0,3.04,19.0
SUP_006,2024-06-01,logistique,8,9.0,7.83,15.0
SUP_002,2024-06-01,alimentaire,3,5.0,3.27,30.0
SUP_077,2024-06-01,non_alimentaire,6,6.0,16.21,6.0
SUP_018,2024-06-01,non_alimentaire,9,9.0,14.02,6.0
SUP_042,2024-06-01,alimentaire,10,10.0,2.97,13.0
SUP_035,2024-06-01,non_alimentaire,6,6.0,11.53,5.0
SUP_025,2024-06-01,non_alimentaire,9,9.0,15.5,6.0
SUP_018,2024-06-01,alimentaire,8,8.0,2.99,11.0
SUP_021,2024-06-01,alimentaire,6,6.0,2.98,12.0
SUP_047,2024-06-01,non_alimentaire,7,7.0,15.52,5.0
SUP_017,2024-06-01,logistique,3,3.0,7.71,14.0
SUP_010,2024-06-01,alimentaire,9,9.0,3.22,27.0
SUP_016,2024-06-01,logistique,8,8.0,7.47,14.0
SUP_079,2024-06-01,alimentaire,9,9.0,3.07,12.0
SUP_078,2024-06-01,non_alimentaire,16,16.0,15.33,12.0
SUP_038,2024-06-01,alimentaire,7,7.0,2.98,8.0
SUP_061,2024-06-01,alimentaire,8,8.0,3.12,12.0
SUP_019,2024-06-01,alimentaire,4,5.0,3.04,9.0
SUP_073,2024-06-01,non_alimentaire,8,9.0,15.85,8.0
SUP_031,2024-06-01,non_alimentaire,9,9.0,15.16,25.0
SUP_076,2024-06-01,non_alimentaire,18,22.0,13.15,14.0
SUP_057,2024-06-01,non_alimentaire,10,10.0,15.28,13.0
SUP_054,2024-06-01,alimentaire,5,3.0,2.42,4.0
SUP_003,2024-06-01,non_alimentaire,19,20.0,17.11,13.0
SUP_065,2024-06-01,alimentaire,9,8.0,3.09,19.0
SUP_025,2024-06-01,alimentaire,8,8.0,2.91,2.0
SUP_058,2024-06-01,alimentaire,5,7.0,3.16,5.0
SUP_012,2024-06-01,alimentaire,2,2.0,3.08,13.0
SUP_026,2024-06-01,non_alimentaire,9,9.0,17.64,4.0
SUP_057,2024-06-01,logistique,13,13.0,8.3,16.0
SUP_007,2024-06-01,alimentaire,8,8.0,3.04,15.0
SUP_040,2024-06-01,alimentaire,2,2.0,3.04,9.0
SUP_040,2024-06-01,alimentaire,2,3.0,3.08,4.0
SUP_039,2024-06-01,non_alimentaire,13,16.0,17.0,13.0
SUP_051,2024-06-01,non_alimentaire,11,15.0,15.77,69.0
SUP_062,2024-06-02,non_alimentaire,10,10.0,15.7,6.0
SUP_072,2024-06-02,alimentaire,5,5.0,3.08,3.0
SUP_031,2024-06-02,logistique,4,4.0,8.18,9.0
SUP_065,2024-06-02,logistique,6,6.0,7.68,15.0
SUP_067,2024-06-02,alimentaire,2,2.0,3.07,7.0
SUP_050,2024-06-02,alimentaire,2,3.0,2.96,6.0
SUP_064,2024-06-02,non_alimentaire,7,7.0,14.79,4.0
SUP_056,2024-06-02,non_alimentaire,6,9.0,13.34,11.0
SUP_072,2024-06-02,non_alimentaire,7,7.0,15.15,5.0
SUP_039,2024-06-02,logistique,4,4.0,8.11,34.0
SUP_044,2024-06-02,alimentaire,5,5.0,2.86,4.0
SUP_018,2024-06-02,alimentaire,8,8.0,2.86,13.0
SUP_047,2024-06-02,non_alimentaire,10,10.0,14.34,4.0
SUP_008,2024-06-02,non_alimentaire,16,18.0,12.68,8.0
SUP_041,2024-06-02,alimentaire,4,5.0,3.18,9.0
SUP_064,2024-06-02,logistique,9,9.0,7.76,15.0
SUP_068,2024-06-02,logistique,11,11.0,8.17,11.0
SUP_028,2024-06-02,non_alimentaire,9,6.0,14.92,
SUP_011,2024-06-02,alimentaire,10,10.0,3.1,3.0
SUP_055,2024-06-02,alimentaire,4,2.0,3.22,15.0
SUP_007,2024-06-02,alimentaire,8,8.0,2.89,6.0
SUP_042,2024-06-02,logistique,11,11.0,8.47,5.0
SUP_015,2024-06-02,alimentaire,5,5.0,3.03,7.0
SUP_058,2024-06-02,non_alimentaire,6,6.0,15.75,14.0
SUP_047,2024-06-02,alimentaire,6,6.0,3.06,5.0
SUP_017,2024-06-02,alimentaire,5,5.0,3.04,18.0
SUP_050,2024-06-02,alimentaire,10,11.0,3.07,21.0
SUP_061,2024-06-02,alimentaire,8,8.0,2.99,3.0
SUP_028,2024-06-02,logistique,12,12.0,8.41,7.0
SUP_067,2024-06-02,non_alimentaire,14,14.0,15.51,5.0
SUP_005,2024-06-02,non_alimentaire,16,16.0,15.42,2.0
SUP_061,2024-06-02,non_alimentaire,5,5.0,15.46,9.0
SUP_054,2024-06-02,alimentaire,5,,2.63,15.0
SUP_054,2024-06-03,alimentaire,8,8.0,2.0,4.0
SUP_061,2024-06-03,non_alimentaire,13,13.0,15.3,11.0
SUP_027,2024-06-03,alimentaire,8,8.0,3.03,14.0
SUP_040,2024-06-03,alimentaire,10,12.0,2.94,5.0
SUP_018,2024-06-03,non_alimentaire,5,5.0,14.59,4.0
SUP_068,2024-06-03,non_alimentaire,18,,15.29,13.0
SUP_029,2024-06-03,non_alimentaire,15,15.0,14.7,8.0
SUP_022,2024-06-03,non_alimentaire,19,22.0,15.66,4.0
SUP_062,2024-06-03,logistique,15,15.0,8.25,8.0
SUP_004,2024-06-03,alimentaire,7,7.0,3.21,11.0
SUP_046,2024-06-03,alimentaire,8,9.0,3.08,4.0
SUP_041,2024-06-03,non_alimentaire,8,8.0,14.54,11.0
SUP_017,2024-06-03,alimentaire,5,4.0,2.99,3.0
SUP_075,2024-06-03,non_alimentaire,6,6.0,15.07,8.0
SUP_064,2024-06-03,non_alimentaire,5,5.0,15.23,7.0
SUP_049,2024-06-03,non_alimentaire,17,17.0,14.13,7.0
SUP_011,2024-06-03,non_alimentaire,17,17.0,14.37,11.0
SUP_015,2024-06-03,alimentaire,5,6.0,3.04,6.0
SUP_065,2024-06-03,non_alimentaire,7,7.0,14.98,8.0
SUP_004,2024-06-03,alimentaire,3,3.0,3.03,8.0
SUP_061,2024-06-03,non_alimentaire,10,10.0,14.83,5.0
SUP_026,2024-06-03,non_alimentaire,7,7.0,14.28,10.0
SUP_015,2024-06-03,non_alimentaire,18,18.0,15.14,7.0
SUP_076,2024-06-03,alimentaire,10,11.0,2.94,11.0
SUP_071,2024-06-03,alimentaire,8,10.0,2.96,16.0
SUP_046,2024-06-03,alimentaire,8,9.0,3.08,4.0
SUP_067,2024-06-03,alimentaire,8,8.0,3.03,7.0
SUP_021,2024-06-03,alimentaire,9,9.0,3.28,8.0
SUP_052,2024-06-03,non_alimentaire,17,18.0,14.77,13.0
SUP_054,2024-06-03,non_alimentaire,20,22.0,10.77,26.0
SUP_034,2024-06-04,alimentaire,4,,3.53,15.0
SUP_076,2024-06-04,alimentaire,3,3.0,3.07,19.0
SUP_040,2024-06-04,alimentaire,3,3.0,3.0,5.0
SUP_030,2024-06-04,alimentaire,5,5.0,3.09,12.0
SUP_031,2024-06-04,non_alimentaire,12,13.0,15.49,12.0
SUP_044,2024-06-04,logistique,9,9.0,7.97,3.0
SUP_010,2024-06-04,alimentaire,5,5.0,3.16,7.0
SUP_049,2024-06-04,alimentaire,4,4.0,3.04,4.0
SUP_068,2024-06-04,alimentaire,2,3.0,2.91,6.0
SUP_049,2024-06-04,alimentaire,10,10.0,3.03,6.0
SUP_024,2024-06-04,alimentaire,5,5.0,2.98,5.0
SUP_051,2024-06-04,non_alimentaire,16,16.0,15.08,34.0
SUP_071,2024-06-04,non_alimentaire,19,19.0,16.38,5.0
SUP_010,2024-06-04,non_alimentaire,17,17.0,13.68,6.0
SUP_071,2024-06-04,non_alimentaire,20,20.0,16.51,21.0
SUP_001,2024-06-04,alimentaire,9,9.0,3.03,7.0
SUP_020,2024-06-04,logistique,10,11.0,7.34,22.0
SUP_033,2024-06-04,alimentaire,3,3.0,2.85,6.0
SUP_009,2024-06-04,non_alimentaire,20,20.0,14.64,4.0
SUP_077,2024-06-04,alimentaire,2,2.0,3.16,6.0
SUP_038,2024-06-04,logistique,11,11.0,8.38,10.0
SUP_017,2024-06-04,logistique,12,14.0,8.09,7.0
SUP_061,2024-06-04,alimentaire,10,10.0,3.11,5.0
SUP_072,2024-06-04,non_alimentaire,7,7.0,15.31,16.0
SUP_064,2024-06-04,alimentaire,10,10.0,3.08,13.0
SUP_060,2024-06-04,non_alimentaire,10,10.0,15.11,11.0
SUP_049,2024-06-04,non_alimentaire,17,17.0,14.72,22.0
SUP_057,2024-06-04,non_alimentaire,14,14.0,15.81,4.0
SUP_061,2024-06-04,non_alimentaire,9,9.0,15.23,35.0
SUP_010,2024-06-04,non_alimentaire,8,11.0,14.18,10.0
SUP_075,2024-06-04,alimentaire,7,7.0,3.01,32.0
SUP_017,2024-06-05,non_alimentaire,16,16.0,15.68,7.0
SUP_016,2024-06-05,non_alimentaire,9,9.0,14.2,3.0
SUP_078,2024-06-05,non_alimentaire,12,12.0,16.01,9.0
SUP_057,2024-06-05,alimentaire,2,2.0,2.9,4.0
SUP_054,2024-06-05,alimentaire,7,12.0,2.53,3.0
SUP_071,2024-06-05,alimentaire,9,9.0,3.04,3.0
SUP_043,2024-06-05,logistique,5,5.0,8.24,27.0
SUP_070,2024-06-05,logistique,5,5.0,5.35,8.0
SUP_068,2024-06-05,alimentaire,6,6.0,3.16,9.0
SUP_073,2024-06-05,alimentaire,9,9.0,3.1,7.0
SUP_073,2024-06-05,non_alimentaire,19,17.0,15.09,19.0
SUP_055,2024-06-05,alimentaire,7,8.0,3.03,2.0
SUP_061,2024-06-05,logistique,5,3.0,7.95,7.0
SUP_022,2024-06-05,non_alimentaire,5,5.0,14.8,10.0
SUP_018,2024-06-05,logistique,5,5.0,8.22,5.0
SUP_032,2024-06-05,non_alimentaire,11,11.0,15.59,3.0
SUP_034,2024-06-05,logistique,14,18.0,7.61,14.0
SUP_021,2024-06-05,non_alimentaire,8,8.0,14.25,
SUP_030,2024-06-05,non_alimentaire,5,5.0,15.62,3.0
SUP_026,2024-06-05,non_alimentaire,16,19.0,14.17,3.0
SUP_061,2024-06-05,non_alimentaire,11,11.0,14.58,6.0
SUP_010,2024-06-05,non_alimentaire,9,6.0,16.3,3.0
SUP_010,2024-06-05,alimentaire,2,2.0,2.98,12.0
SUP_034,2024-06-05,non_alimentaire,10,15.0,14.82,16.0
SUP_037,2024-06-05,alimentaire,5,5.0,3.15,2.0
SUP_017,2024-06-05,non_alimentaire,13,13.0,14.84,14.0
SUP_057,2024-06-05,alimentaire,2,2.0,2.9,4.0
SUP_017,2024-06-05,non_alimentaire,6,7.0,14.8,5.0
SUP_040,2024-06-05,logistique,10,10.0,8.3,33.0
SUP_068,2024-06-05,alimentaire,8,5.0,2.72,9.0
SUP_001,2024-06-05,non_alimentaire,7,7.0,14.86,8.0
SUP_006,2024-06-05,non_alimentaire,18,18.0,14.77,8.0
SUP_001,2024-06-05,alimentaire,10,10.0,3.12,6.0
SUP_018,2024-06-05,alimentaire,8,8.0,3.2,16.0
SUP_010,2024-06-05,non_alimentaire,15,16.0,,5.0
SUP_001,2024-06-05,alimentaire,4,6.0,2.99,7.0
SUP_054,2024-06-05,logistique,9,10.0,6.48,4.0
SUP_036,2024-06-05,alimentaire,7,7.0,2.78,19.0
SUP_027,2024-06-05,logistique,9,9.0,8.12,32.0
SUP_027,2024-06-05,alimentaire,6,6.0,2.89,11.0
SUP_008,2024-06-05,non_alimentaire,11,11.0,13.64,5.0
SUP_060,2024-06-05,alimentaire,9,9.0,3.14,4.0
SUP_010,2024-06-05,logistique,14,15.0,,24.0
SUP_061,2024-06-05,logistique,3,3.0,7.82,71.0
SUP_076,2024-06-05,non_alimentaire,7,7.0,13.7,1.0
SUP_018,2024-06-05,non_alimentaire,6,6.0,15.28,15.0
SUP_055,2024-06-05,non_alimentaire,16,16.0,15.15,9.0
SUP_003,2024-06-06,alimentaire,2,2.0,2.97,
SUP_044,2024-06-06,non_alimentaire,20,22.0,14.29,11.0
SUP_048,2024-06-06,logistique,10,7.0,8.29,12.0
SUP_050,2024-06-06,logistique,4,4.0,8.15,8.0
SUP_061,2024-06-06,alimentaire,4,3.0,3.01,17.0
SUP_070,2024-06-06,non_alimentaire,12,12.0,11.31,14.0
SUP_024,2024-06-06,non_alimentaire,11,12.0,15.91,17.0
SUP_059,2024-06-06,alimentaire,8,9.0,3.15,8.0
SUP_036,2024-06-06,alimentaire,8,8.0,3.03,18.0
SUP_051,2024-06-06,alimentaire,9,11.0,2.7,13.0
SUP_050,2024-06-06,non_alimentaire,13,13.0,15.66,3.0
SUP_062,2024-06-06,non_alimentaire,10,10.0,15.46,7.0
SUP_080,2024-06-06,alimentaire,10,7.0,2.91,8.0
SUP_077,2024-06-06,non_alimentaire,18,20.0,16.52,2.0
SUP_067,2024-06-06,alimentaire,3,3.0,3.04,7.0
SUP_038,2024-06-06,non_alimentaire,12,12.0,15.15,6.0
SUP_064,2024-06-06,logistique,14,14.0,7.68,15.0
SUP_043,2024-06-06,alimentaire,2,2.0,3.1,4.0
SUP_049,2024-06-06,logistique,12,12.0,8.03,9.0
SUP_070,2024-06-06,logistique,5,8.0,7.71,12.0
SUP_006,2024-06-06,alimentaire,9,9.0,2.98,
SUP_026,2024-06-06,alimentaire,9,10.0,3.31,4.0
SUP_079,2024-06-06,non_alimentaire,11,11.0,15.66,8.0
SUP_035,2024-06-06,non_alimentaire,5,5.0,46.96,11.0
SUP_078,2024-06-06,non_alimentaire,18,18.0,15.01,7.0
SUP_007,2024-06-06,alimentaire,2,2.0,3.0,16.0
SUP_057,2024-06-06,alimentaire,9,8.0,3.0,5.0
SUP_057,2024-06-06,non_alimentaire,5,5.0,14.95,8.0
SUP_042,2024-06-06,non_alimentaire,17,14.0,15.54,14.0
SUP_004,2024-06-06,logistique,14,14.0,8.4,7.0
SUP_080,2024-06-06,alimentaire,3,3.0,3.06,23.0
SUP_061,2024-06-06,non_alimentaire,16,16.0,14.98,6.0
SUP_017,2024-06-06,alimentaire,2,2.0,3.08,4.0
SUP_064,2024-06-06,non_alimentaire,16,16.0,14.98,2.0
SUP_054,2024-06-06,alimentaire,4,4.0,3.43,35.0
SUP_052,2024-06-06,non_alimentaire,19,20.0,16.38,7.0
SUP_054,2024-06-06,non_alimentaire,9,9.0,13.12,15.0
SUP_033,2024-06-06,alimentaire,6,6.0,3.03,9.0
SUP_044,2024-06-06,alimentaire,7,10.0,3.47,29.0
SUP_021,2024-06-07,non_alimentaire,18,18.0,15.33,10.0
SUP_017,2024-06-07,non_alimentaire,12,12.0,14.41,13.0
SUP_071,2024-06-07,non_alimentaire,9,11.0,12.58,6.0
SUP_016,2024-06-07,alimentaire,3,3.0,3.24,8.0
SUP_066,2024-06-07,alimentaire,2,3.0,3.0,2.0
SUP_076,2024-06-07,alimentaire,4,3.0,2.69,5.0
SUP_064,2024-06-07,non_alimentaire,13,14.0,16.07,8.0
SUP_023,2024-06-07,logistique,5,5.0,8.15,31.0
SUP_045,2024-06-07,alimentaire,4,4.0,3.03,19.0
SUP_002,2024-06-07,non_alimentaire,14,14.0,16.09,
SUP_054,2024-06-07,logistique,14,11.0,7.23,33.0
SUP_033,2024-06-07,alimentaire,4,2.0,3.11,17.0
SUP_070,2024-06-07,alimentaire,5,8.0,3.74,12.0
SUP_021,2024-06-07,alimentaire,2,2.0,2.9,22.0
SUP_058,2024-06-07,alimentaire,4,1.0,3.12,8.0
SUP_042,2024-06-07,logistique,15,15.0,7.85,11.0
SUP_042,2024-06-07,non_alimentaire,19,19.0,15.15,4.0
SUP_043,2024-06-07,alimentaire,9,7.0,3.04,2.0
SUP_027,2024-06-07,non_alimentaire,13,13.0,15.72,14.0
SUP_061,2024-06-07,logistique,11,13.0,7.99,31.0
SUP_034,2024-06-07,non_alimentaire,19,19.0,20.06,19.0
SUP_044,2024-06-07,non_alimentaire,6,6.0,17.81,7.0
SUP_054,2024-06-07,alimentaire,4,6.0,2.57,2.0
SUP_049,2024-06-07,non_alimentaire,9,11.0,16.36,5.0
SUP_010,2024-06-07,alimentaire,4,5.0,2.53,1.0
SUP_008,2024-06-07,non_alimentaire,6,6.0,16.99,15.0
SUP_061,2024-06-07,alimentaire,3,3.0,3.05,2.0
SUP_075,2024-06-07,non_alimentaire,5,5.0,15.3,5.0
SUP_022,2024-06-07,alimentaire,6,5.0,3.15,9.0
SUP_054,2024-06-07,non_alimentaire,20,20.0,12.34,6.0
SUP_069,2024-06-07,alimentaire,8,11.0,3.15,14.0
SUP_028,2024-06-07,alimentaire,2,2.0,2.96,32.0
SUP_010,2024-06-07,alimentaire,7,7.0,2.85,4.0
SUP_038,2024-06-07,alimentaire,10,10.0,3.1,7.0
SUP_067,2024-06-07,non_alimentaire,17,17.0,14.15,5.0
SUP_041,2024-06-07,alimentaire,9,9.0,3.07,9.0
SUP_009,2024-06-07,alimentaire,8,11.0,3.0,11.0
SUP_056,2024-06-07,alimentaire,10,15.0,3.22,6.0
SUP_080,2024-06-07,logistique,10,10.0,8.43,42.0
SUP_018,2024-06-07,alimentaire,8,8.0,3.14,17.0
SUP_049,2024-06-07,alimentaire,9,9.0,2.94,6.0
SUP_051,2024-06-07,logistique,3,6.0,8.24,14.0
SUP_069,2024-06-07,logistique,11,11.0,8.37,4.0
SUP_037,2024-06-08,alimentaire,9,9.0,3.08,7.0
SUP_050,2024-06-08,non_alimentaire,16,16.0,15.12,12.0
SUP_016,2024-06-08,logistique,13,13.0,8.03,16.0
SUP_054,2024-06-08,alimentaire,9,12.0,2.54,4.0
SUP_050,2024-06-08,non_alimentaire,8,8.0,14.92,8.0
SUP_065,2024-06-08,logistique,12,13.0,8.74,11.0
SUP_037,2024-06-08,alimentaire,3,3.0,3.02,20.0
SUP_021,2024-06-08,alimentaire,3,3.0,2.82,6.0
SUP_032,2024-06-08,alimentaire,8,8.0,2.96,3.0
SUP_005,2024-06-08,logistique,8,6.0,8.4,5.0
SUP_076,2024-06-08,logistique,11,10.0,9.37,20.0
SUP_054,2024-06-08,alimentaire,3,6.0,2.77,17.0
SUP_049,2024-06-08,logistique,6,6.0,7.91,18.0
SUP_014,2024-06-08,alimentaire,4,4.0,3.16,35.0
SUP_018,2024-06-08,logistique,12,12.0,8.13,22.0
SUP_041,2024-06-08,alimentaire,8,7.0,3.09,7.0
SUP_060,2024-06-08,alimentaire,9,7.0,2.87,19.0
SUP_072,2024-06-08,logistique,5,5.0,7.85,10.0
SUP_064,2024-06-08,alimentaire,6,6.0,3.03,7.0
SUP_075,2024-06-08,alimentaire,8,8.0,2.81,1.0
SUP_012,2024-06-08,alimentaire,6,11.0,2.7,14.0
SUP_019,2024-06-08,non_alimentaire,18,18.0,15.22,10.0
SUP_025,2024-06-08,logistique,13,13.0,8.19,18.0
SUP_026,2024-06-08,logistique,9,9.0,7.55,23.0
SUP_026,2024-06-08,non_alimentaire,13,13.0,14.3,4.0
SUP_029,2024-06-08,logistique,4,5.0,8.09,19.0
SUP_053,2024-06-08,alimentaire,10,10.0,2.22,4.0
SUP_078,2024-06-08,non_alimentaire,15,16.0,15.25,4.0
SUP_055,2024-06-08,non_alimentaire,11,11.0,,12.0
SUP_064,2024-06-08,logistique,14,14.0,7.79,23.0
SUP_009,2024-06-09,alimentaire,5,5.0,3.13,19.0
SUP_061,2024-06-09,alimentaire,2,2.0,2.98,4.0
SUP_050,2024-06-09,alimentaire,9,10.0,3.12,9.0
SUP_054,2024-06-09,alimentaire,8,,3.48,3.0
SUP_017,2024-06-09,non_alimentaire,14,14.0,14.88,5.0
SUP_030,2024-06-09,logistique,15,15.0,8.2,14.0
SUP_010,2024-06-09,alimentaire,10,10.0,2.52,12.0
SUP_014,2024-06-09,non_alimentaire,15,15.0,16.22,6.0
SUP_026,2024-06-09,alimentaire,5,6.0,3.13,24.0
SUP_080,2024-06-09,non_alimentaire,20,20.0,15.75,11.0
SUP_010,2024-06-09,non_alimentaire,19,19.0,14.41,3.0
SUP_026,2024-06-09,alimentaire,5,6.0,2.78,14.0
SUP_055,2024-06-09,non_alimentaire,19,19.0,15.69,6.0
SUP_076,2024-06-09,non_alimentaire,16,13.0,14.04,7.0
SUP_019,2024-06-09,alimentaire,7,7.0,3.2,23.0
